Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,Address_Line_1,Address_Line_2,Address_Town,Address_State,Address_Postcode,Postal_Address_Line_1,Postal_Address_Line_2,Postal_Town,Postal_State,Postal_Postcode,Full_Phone_No,LGA_ID,LGA_Name,X,Y
Government,1,7845,Foster Secondary College,Secondary,O,2 - 10 Pioneer Street,,Foster,VIC,3960,P O Box 23,,FOSTER,VIC,3960,03 5682 2066,617,South Gippsland (S),-38.65174,146.19741
Government,1,7850,Frankston High School,Secondary,O,97 Foot Street,,Frankston,VIC,3199,97 Foot Street,,FRANKSTON,VIC,3199,03 9783 7955,217,Frankston (C),-38.16047,145.12907
Government,1,7855,Geelong High School,Secondary,O,385 Ryrie Street,,East Geelong,VIC,3219,385 Ryrie Street,,EAST GEELONG,VIC,3219,03 5225 4100,275,Greater Geelong (C),-38.15303,144.37373
Government,1,7856,North Geelong Secondary College,Secondary,O,86-132 Separation Street,,North Geelong,VIC,3215,86 - 132  Separation St,,NORTH GEELONG,VIC,3215,03 5240 5800,275,Greater Geelong (C),-38.10996,144.34079
Government,1,7857,Gisborne Secondary College,Secondary,O,95 Melton Road,,Gisborne,VIC,3437,P O Box 57,,GISBORNE,VIC,3437,03 5428 3691,413,Macedon Ranges (S),-37.49811,144.58477
Government,1,7858,Gladstone Park Secondary College,Secondary,O,14 - 36 Taylor Drive,,Gladstone Park,VIC,3043,14 - 36 Taylor Drive,,GLADSTONE PARK,VIC,3043,03 9933 0500,327,Hume (C),-37.68977,144.89
Government,1,7874,Bundoora Secondary College,Secondary,O,53 Balmoral Avenue,,Bundoora,VIC,3083,P O Box 68,,BUNDOORA,VIC,3083,03 9467 1511,66,Banyule (C),-37.7075,145.06198
Government,1,7876,Greater Shepparton Secondary College,Secondary,O,1 - 19 Parkside Drive,,Shepparton,VIC,3630,1 - 19 Parkside Drive,,Shepparton,VIC,3630,03 5820 9900,283,Greater Shepparton (C),-36.35704,145.3919
Government,1,7893,Western Port Secondary College,Secondary,O,215 High Street,,Hastings,VIC,3915,"P O Box 101, 215 HIGH STREET",,HASTINGS,VIC,3915,03 5979 1577,534,Mornington Peninsula (S),-38.30817,145.17638
Government,1,7900,Healesville High School,Secondary,O,10 Camerons Road,,Healesville,VIC,3777,10 Camerons Road,,HEALESVILLE,VIC,3777,03 5962 4088,745,Yarra Ranges (S),-37.64359,145.53081
Government,1,7910,Heywood District Secondary College,Secondary,O,Gorrie Street,,Heywood,VIC,3304,P O Box 180,,HEYWOOD,VIC,3304,03 5527 1303,241,Glenelg (S),-38.12927,141.6205
Government,1,7918,Highvale Secondary College,Secondary,O,Capital Avenue,,Glen Waverley,VIC,3150,Capital Avenue,,GLEN WAVERLEY,VIC,3150,03 9803 5144,497,Monash (C),-37.86541,145.17682
Government,1,7945,Kerang Technical High School,Secondary,O,Murray St,,Kerang,VIC,3579,P O Box 201,,KERANG,VIC,3579,03 5452 1062,225,Gannawarra (S),-35.72565,143.9138
Government,1,7947,Kensington Community High School,Secondary,O,405 Racecourse Rd,,Kensington,VIC,3031,P O Box 321,,FLEMINGTON,VIC,3031,03 9376 1953,460,Melbourne (C),-37.78791,144.92558
Government,1,7950,Kew High School,Secondary,O,1393 Burke Road,,Kew East,VIC,3102,1393 Burke Road,,KEW EAST,VIC,3102,03 9092 7500,111,Boroondara (C),-37.79555,145.06336
Government,1,7954,Koonung Secondary College,Secondary,O,615 Elgar Road,,Mont Albert North,VIC,3129,615 ELGAR ROAD,,MONT ALBERT NORTH,VIC,3129,03 9890 9662,698,Whitehorse (C),-37.80219,145.11756
Government,1,7955,Koo Wee Rup Secondary College,Secondary,O,Rossiter Road,,Koo Wee Rup,VIC,3981,P O Box 30,,KOO WEE RUP,VIC,3981,03 5997 1444,145,Cardinia (S),-38.19709,145.49578
Government,1,7960,Korumburra Secondary College,Secondary,O,125 Jumbunna Road,,Korumburra,VIC,3950,Private Bag 2,,KORUMBURRA,VIC,3950,03 5655 1566,617,South Gippsland (S),-38.44387,145.8039
Government,1,7965,Kyabram P-12 College,Pri/Sec,O,57 Fischer Street,,Kyabram,VIC,3620,P O Box 384,,KYABRAM,VIC,3619,03 5851 2100,137,Campaspe (S),-36.31748,145.05621
Government,1,7970,Kyneton High School,Secondary,O,1-9 Epping Street,,Kyneton,VIC,3444,1-9 Epping St,,KYNETON,VIC,3444,03 5421 1100,413,Macedon Ranges (S),-37.25133,144.45817
Government,1,7985,Lalor Secondary College,Secondary,O,118 David Street,,Lalor,VIC,3075,P O Box 1015,,LALOR,VIC,3075,03 9463 7300,707,Whittlesea (C),-37.67266,145.03062
Government,1,7986,Lalor North Secondary College,Secondary,O,114 Childs Road,,Epping,VIC,3076,114 Childs Road,,EPPING,VIC,3076,03 9401 3888,707,Whittlesea (C),-37.66077,145.03412
