school_name,address,town,lga_name,x,y
Mordialloc College,1 Station Street Mordialloc VIC 3195,Mordialloc,Kingston (C),-38.012240000000006,145.09268
Mount Beauty Secondary College,Tailrace Road Mount Beauty VIC 3699,Mount Beauty,Alpine (S),-36.74031,147.16728
Mount Eliza Secondary College,204 Canadian Bay Road Mount Eliza VIC 3930,Mount Eliza,Mornington Peninsula (S),-38.1897,145.09354
Mount Waverley Secondary College,9 Lechte Road Mount Waverley VIC 3149,Mount Waverley,Monash (C),-37.86909,145.13231000000002
McKinnon Secondary College,291a Mckinnon Road Mckinnon VIC 3204,Mckinnon,Glen Eira (C),-37.9122,145.04854
MacRobertson Girls High School,350-370 Kings Way Melbourne VIC 3004,Melbourne,Port Phillip (C),-37.83589,144.97186000000002
Nathalia Secondary College,41 Chapel Street Nathalia VIC 3638,Nathalia,Moira (S),-36.0599,145.20844
Neerim District Secondary College,20 Neerim East Road Neerim South VIC 3831,Neerim South,Baw Baw (S),-38.016940000000005,145.95668
Newcomb Secondary College,81 - 85 Bellarine Highway Newcomb VIC 3219,Newcomb,Greater Geelong (C),-38.17113,144.3952
Northcote High School,St Georges Road Northcote VIC 3070,Northcote,Darebin (C),-37.774159999999995,144.98971
Norwood Secondary College,Byron Street Ringwood VIC 3134,Ringwood,Maroondah (C),-37.79975,145.2376
Numurkah Secondary College,104 Tocumwal Road Numurkah VIC 3636,Numurkah,Moira (S),-36.07995,145.44627
Oberon High School,12 Pickett Crescent Belmont VIC 3216,Belmont,Greater Geelong (C),-38.18665,144.33741
Orbost Secondary College,20 Arnold Street Orbost VIC 3888,Orbost,East Gippsland (S),-37.70411,148.46635
Ouyen P-12 College,1-35 Fuller Street Ouyen VIC 3490,Ouyen,Mildura (RC),-35.06457,142.32261
Pakenham Secondary College,1020 Princes Highway Pakenham VIC 3810,Pakenham,Cardinia (S),-38.069,145.471
Parkdale Secondary College,Warren Road Mordialloc VIC 3195,Mordialloc,Kingston (C),-37.9903,145.0935
Pascoe Vale Girls Secondary College,Lake Avenue Pascoe Vale VIC 3044,Pascoe Vale,Moreland (C),-37.71756,144.9355
Prahran High School,138 High Street Windsor VIC 3181,Windsor,Stonnington (C),-37.8521,144.99108999999999
Preston High School,2-16 Cooma Street Preston VIC 3072,Preston,Darebin (C),-37.741690000000006,145.0064
Princes Hill Secondary College,Arnold Street Princes Hill VIC 3054,Princes Hill,Yarra (C),-37.78348,144.96503
Homestead Senior Secondary College,9 Coaching Parade Point Cook VIC 3030,Point Cook,Wyndham (C),-37.91615,144.76689
Bellarine Secondary College,Peninsula Drive Drysdale VIC 3222,Drysdale,Greater Geelong (C),-38.19066,144.55753
Rainbow P-12 College,17 Albert Street Rainbow VIC 3424,Rainbow,Hindmarsh (S),-35.89447,141.9967
Red Cliffs Secondary College,55 Fitzroy Avenue Red Cliffs VIC 3496,Red Cliffs,Mildura (RC),-34.2988,142.19545
Ringwood Secondary College,Bedford Road Ringwood VIC 3134,Ringwood,Maroondah (C),-37.81661,145.23915
Richmond High School,4 Griffiths Street Richmond VIC 3121,Richmond,Yarra (C),-37.817409999999995,145.0028
Robinvale College,88 George Street Robinvale VIC 3549,Robinvale,Swan Hill (RC),-34.58889,142.78155
Rochester Secondary College,26 Edward Street Rochester VIC 3561,Rochester,Campaspe (S),-36.352779999999996,144.6987
Rosebud Secondary College,245 Eastbourne Road Rosebud VIC 3939,Rosebud,Mornington Peninsula (S),-38.36762,144.88745
Rutherglen High School,40 Sheridans Bridge Road Rutherglen VIC 3685,Rutherglen,Indigo (S),-36.06256,146.4521
Saltwater P-9 College,15 Kirra Place Point Cook VIC 3030,Point Cook,Wyndham (C),-37.91133,144.77028
Scoresby Secondary College,Cavell Street Scoresby VIC 3179,Scoresby,Knox (C),-37.88864,145.2362
St Albans Secondary College,289 Main Road East St Albans VIC 3021,St Albans,Brimbank (C),-37.74553,144.80841
St Arnaud Secondary College,Smith Street St Arnaud VIC 3478,St Arnaud,Northern Grampians (S),-36.60955,143.25093999999999
Oakwood School,319 Balaclava Road Caulfield North VIC 3161,Caulfield North,Glen Eira (C),-37.873979999999996,145.03417
Strathmore Secondary College,400 Pascoe Vale Road Strathmore VIC 3041,Strathmore,Moonee Valley (C),-37.73695,144.92664
Sunbury College,30 Racecourse Road Sunbury VIC 3429,Sunbury,Hume (C),-37.57428,144.72867
Sydney Road Community School,350 Sydney Road Brunswick VIC 3056,Brunswick,Moreland (C),-37.769690000000004,144.96188
Tallangatta Secondary College,145 Towong Street Tallangatta VIC 3700,Tallangatta,Towong (S),-36.22044,147.17266999999998
Thomastown Secondary College,80-96 Main Street Thomastown VIC 3074,Thomastown,Whittlesea (C),-37.67872,145.00194
Trafalgar High School,School Road Trafalgar VIC 3824,Trafalgar,Baw Baw (S),-38.21457,146.1583
Dohertys Creek P-9 College,60 Elmhurst Road Truganina VIC 3029,Truganina,Wyndham (C),-37.84298,144.73391
University High School,77 Story Street Parkville VIC 3052,Parkville,Melbourne (C),-37.79698,144.95538
Roxburgh College,60-70 Donald Cameron Drive Roxburgh Park VIC 3064,Roxburgh Park,Hume (C),-37.63041,144.93033
Upper Yarra Secondary College,81-89 Little Yarra Road Yarra Junction VIC 3797,Yarra Junction,Yarra Ranges (S),-37.79209,145.62393
Upwey High School,1451 Burwood Highway Upwey VIC 3158,Upwey,Yarra Ranges (S),-37.90436,145.33548000000002
Vermont Secondary College,27 - 63 Morack Road Vermont VIC 3133,Vermont,Whitehorse (C),-37.844120000000004,145.1997
Kambrya College,68 Bemersyde Drive Berwick VIC 3806,Berwick,Casey (C),-38.05369,145.34741
Carrum Downs Secondary College,263 McCormicks Road Carrum Downs VIC 3201,Carrum Downs,Frankston (C),-38.095290000000006,145.19766
Wangaratta High School,17-49 Edwards Street Wangaratta VIC 3677,Wangaratta,Wangaratta (RC),-36.3449,146.30772
Wantirna College,90 Harold Street Wantirna VIC 3152,Wantirna,Knox (C),-37.8576,145.22997
Warracknabeal Secondary College,1 Tregear Street Warracknabeal VIC 3393,Warracknabeal,Yarriambiack (S),-36.26275,142.38941
Warrandyte High School,241-247 Heidelberg-Warrandyte Rd Warrandyte VIC 3113,Warrandyte,Manningham (C),-37.74827,145.18421999999998
Wellington Secondary College,91 Police Road Mulgrave VIC 3170,Mulgrave,Monash (C),-37.934470000000005,145.16938000000002
Werribee Secondary College,45 Duncans Road Werribee VIC 3030,Werribee,Wyndham (C),-37.90554,144.66873999999999
Bairnsdale Secondary College,90 Mckean Street Bairnsdale VIC 3875,Bairnsdale,East Gippsland (S),-37.82871,147.605
Westall Secondary College,88-128 Rosebank Avenue Clayton South VIC 3169,Clayton South,Kingston (C),-37.94031,145.13658
Wheelers Hill Secondary College,2-28 Raphael Drive Wheelers Hill VIC 3150,Wheelers Hill,Monash (C),-37.91013,145.18174
Williamstown High School,76 Pasco Street Williamstown VIC 3016,Williamstown,Hobsons Bay (C),-37.86286,144.89502
